index,X,Y,Z,val,feature_name,strike,dip
186,1554694.8457990708,5344931.25686679,0.0,0.0,Alpine Fault,,
187,1550653.465232306,5341477.780473021,0.0,0.0,Alpine Fault,,
188,1548373.8273471468,5335680.279770696,0.0,0.0,Alpine Fault,,
189,1547727.226545449,5326612.893239447,0.0,0.0,Alpine Fault,,
190,1544483.912654686,5319754.2711874,0.0,0.0,Alpine Fault,,
191,1539438.5211166742,5313818.058563113,0.0,0.0,Alpine Fault,,
192,1533784.7763987472,5309602.23175358,0.0,0.0,Alpine Fault,,
193,1525962.9844736042,5303013.666566862,0.0,0.0,Alpine Fault,,
194,1519010.910374388,5297362.826345067,0.0,0.0,Alpine Fault,,
195,1507137.0597388234,5289171.338131334,0.0,0.0,Alpine Fault,,
196,1493953.232509885,5281565.82529266,0.0,0.0,Alpine Fault,,
197,1483601.7461363403,5275577.46990586,0.0,0.0,Alpine Fault,,
198,1468416.081570851,5264290.608873052,0.0,0.0,Alpine Fault,,
199,1462568.3174361745,5261304.463088581,0.0,0.0,Alpine Fault,,
200,1451436.7163801263,5252507.616597189,0.0,0.0,Alpine Fault,,
201,1448718.300056967,5249445.120990348,0.0,0.0,Alpine Fault,,
202,1444567.530322526,5246522.640259023,0.0,0.0,Alpine Fault,,
203,1439019.0524122023,5240974.162348804,0.0,0.0,Alpine Fault,,
204,1422474.7238325763,5229346.218171775,0.0,0.0,Alpine Fault,,
205,1391377.054858812,5207719.437590238,0.0,0.0,Alpine Fault,,
206,1372638.7033052775,5193579.468693883,0.0,0.0,Alpine Fault,,
207,1628507.531118294,5347390.208025818,0.0,0.0,Awatere Fault,,
208,1629778.1749145505,5348533.787442447,0.0,0.0,Awatere Fault,,
209,1632022.9789546074,5349751.487747191,0.0,0.0,Awatere Fault,,
210,1633399.5097338832,5351191.550716282,0.0,0.0,Awatere Fault,,
211,1637580.4212728662,5354588.427664264,0.0,0.0,Awatere Fault,,
212,1638640.9153934442,5355045.836898258,0.0,0.0,Awatere Fault,,
213,1639731.5513185654,5355670.570098084,0.0,0.0,Awatere Fault,,
214,1640970.4290199147,5356888.27040283,0.0,0.0,Awatere Fault,,
215,1643246.999154877,5358540.107337962,0.0,0.0,Awatere Fault,,
216,1645015.3117713332,5359906.0494189365,0.0,0.0,Awatere Fault,,
217,1646773.0356894888,5360774.322679712,0.0,0.0,Awatere Fault,,
218,1648329.5743399034,5362267.329140314,0.0,0.0,Awatere Fault,,
219,1650662.7845826943,5363605.247446816,0.0,0.0,Awatere Fault,,
220,1655911.0823242408,5366979.299884766,0.0,0.0,Awatere Fault,,
221,1657552.3305610705,5368313.475870835,0.0,0.0,Awatere Fault,,
222,1658822.97435733,5369658.240555205,0.0,0.0,Awatere Fault,,
223,1664865.8195978492,5373806.624550412,0.0,0.0,Awatere Fault,,
224,1670046.9945575977,5377589.175583505,0.0,0.0,Awatere Fault,,
225,1670714.082550635,5378288.029671445,0.0,0.0,Awatere Fault,,
226,1670872.9130251654,5378849.2306814585,0.0,0.0,Awatere Fault,,
227,1671254.1061640428,5379293.956010148,0.0,0.0,Awatere Fault,,
228,1671942.371553681,5380077.519684507,0.0,0.0,Awatere Fault,,
229,1672884.765702572,5381125.800816419,0.0,0.0,Awatere Fault,,
230,1673742.4502650453,5381411.695670577,0.0,0.0,Awatere Fault,,
231,1675044.8601562104,5382417.62200928,0.0,0.0,Awatere Fault,,
232,1676781.406677762,5383762.386693652,0.0,0.0,Awatere Fault,,
233,1678994.4446229097,5385403.634930483,0.0,0.0,Awatere Fault,,
